quartier;einwohner
Hafnersberg;31
Breitfeld-Gründenmoos;3
Winkeln Nord-Industrie;247
Winkeln Süd;1791
Gübsensee;33
Chräzeren;2348
Altenwegen;40
Sittertobel;25
Bruggen-Zürcherstrasse;2977
Boppartshof-Hinterberg;3423
Haggen-Oberstrasse-Langweid;3985
Moos-Waldacker-Lerchenfeld;2752
Vonwil-Lachen-Schoren;7091
Hölzli-Joosrüti;911
Rosenberg-Kreuzbleiche;3669
Riethüsli;4313
St.Georgen-Bernegg;2606
St.Leonhard-Ost;955
Altstadt;2445
St.Jakob;3789
Linsebühl-Dreilinden;4800
St.Georgen-Bach;2548
Stuelegg-Rüti;77
Rotmonten;2727
Langgass-Heiligkreuz;8106
St.Fiden-Krontal;8305
Notkersegg;503
Kurzegg-Rank;94
Hub-Schaugentobel;1271
Achslen-Wilen;4430
Stephanshorn-Zil-Kesselhalden;4080